#Sample ID	Size	Reef_Habitat	Location	ZipCode	Latitude_Longitude
A1	3	Rocky Reef	Rincon	00677	18.343114, -67.260138
A10	2.5	Rocky Reef	Rincon	00677	18.343114, -67.260138
A2	2.5	Rocky Reef	Rincon	00677	18.343114, -67.260138
A3	2	Rocky Reef	Rincon	00677	18.343114, -67.260138
A4	2.5	Rocky Reef	Rincon	00677	18.343114, -67.260138
A5	3	Rocky Reef	Rincon	00677	18.343114, -67.260138
A6	2.5	Rocky Reef	Rincon	00677	18.343114, -67.260138
A7	2.75	Rocky Reef	Rincon	00677	18.343114, -67.260138
A8	2.75	Rocky Reef	Rincon	00677	18.343114, -67.260138
A9	2.75	Rocky Reef	Rincon	00677	18.343114, -67.260138
B1	2	Rocks	Ponce	00716	17.9724027, -66.6179076
B2	2	Rocks	Ponce	00716	17.964016, -66.609962
B3	3	Rocks	Ponce	00716	17.964016, -66.609962
C1	1.5	Spur & Groove Reef	Isabella	00662	18.515768, -67.100173
C2	2.5	Spur & Groove Reef	Isabella	00662	18.515768, -67.100173
C3	2.75	Spur & Groove Reef	Isabella	00662	18.515768, -67.100173
C4	4.5	Spur & Groove Reef	Isabella	00662	18.515768, -67.100173
C5	3	Spur & Groove Reef	Isabella	00662	18.515768, -67.100173
D1	2.5	Seagrass	Luquillo	00773	18.387573, -65.719616
D2	3	Seagrass	Luquillo	00773	18.387573, -65.719616
D3	2.75	Seagrass	Luquillo	00773	18.387573, -65.719616
D4	2.5	Seagrass	Luquillo	00773	18.387573, -65.719616
D5	2.5	Seagrass	Luquillo	00773	18.387573, -65.719616
E1	3.5	Reef Rubble	Culebra	00775	18.302451, -65.309386
E2	3	Reef Rubble	Culebra	00775	18.302451, -65.309386
E3	2.75	Reef Rubble	Culebra	00775	18.302451, -65.309386
E4	2.75	Reef Rubble	Culebra	00775	18.302451, -65.309386
E5	3.5	Reef Rubble	Culebra	00775	18.302451, -65.309386
E6	3	Reef Rubble	Culebra	00775	18.302451, -65.309386
E7	3.5	Reef Rubble	Culebra	00775	18.302451, -65.309386
F1	2.5	Rocks	Guayama	00784	17.929801, -66.158912
F2	1.5	Rocks	Guayama	00784	17.929801, -66.158912
G1	2.5	Patch Reef	Ceiba	00735	18.218831, -65.604282
G2	2.75	Patch Reef	Ceiba	00735	18.218831, -65.604282
G3	2	Patch Reef	Ceiba	00735	18.218831, -65.604282
G4	2.5	Spur & Groove Reef	Ceiba	00735	18.218831, -65.604282
G5	2.5	Patch Reef	Ceiba	00735	18.218831, -65.604282
G6	2.5	Spur & Groove Reef	Ceiba	00735	18.218831, -65.604282
G7	2.5	Patch Reef	Ceiba	00735	18.218831, -65.604282
G8	2.5	Patch Reef	Ceiba	00735	18.218831, -65.604282
G9	2	Patch Reef	Ceiba	00735	18.218831, -65.604282
H1	2	Rocks	Guanica	00647	17.934784, -66.957102
H2	3	Rocks	Guanica	00647	17.934784, -66.957102
H3	1.5	Rocks	Guanica	00647	17.934784, -66.957102